employee_id,age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled
19751,58,Male,Single,80993.63,Full-time,Northeast,Yes,1.4,1
12896,56,Male,Single,35480.19,Full-time,West,Yes,2.6,1
17022,42,Female,Single,55648.55,Full-time,Northeast,No,7.7,0
10924,45,Female,Married,57588.61,Full-time,South,No,3.2,0
18350,43,Male,Married,76727.95,Full-time,Midwest,No,1.1,1
14317,50,Male,Single,69326.4,Full-time,West,Yes,3.3,1
14280,23,Male,Single,48380.08,Part-time,West,No,5.5,0
13585,45,Female,Single,66200.87,Full-time,Northeast,Yes,6.4,1
12925,48,Female,Married,62651.64,Full-time,Northeast,Yes,0.2,1
19383,60,Male,Married,40083.54,Full-time,Northeast,Yes,9.0,1
11172,39,Male,Single,57931.89,Full-time,South,Yes,10.1,1
11051,49,Male,Divorced,56422.08,Full-time,South,No,5.2,0
13708,32,Female,Single,65513.35,Full-time,South,No,0.4,1
10746,41,Female,Single,52317.15,Full-time,Midwest,Yes,2.0,1
10662,39,Male,Divorced,52404.84,Full-time,West,No,2.1,0
10047,49,Female,Married,77703.78,Full-time,West,Yes,2.6,1
12197,57,Female,Married,48365.77,Part-time,Northeast,Yes,3.2,0
10192,54,Female,Married,70555.74,Full-time,South,No,4.7,1
11091,28,Female,Divorced,52133.04,Full-time,Northeast,Yes,8.9,0
10442,31,Female,Single,35674.05,Full-time,Northeast,No,0.9,0
19517,51,Male,Single,67329.91,Part-time,Midwest,Yes,1.5,1
12549,47,Male,Married,92085.01,Full-time,Northeast,No,3.9,1
19639,60,Female,Married,89498.19,Full-time,South,Yes,2.4,1
13401,37,Male,Single,70158.98,Full-time,Midwest,Yes,0.6,1
13304,59,Female,Married,68508.75,Full-time,Midwest,Yes,2.0,1
13892,58,Male,Married,52774.53,Full-time,Northeast,Yes,4.0,1
15484,52,Male,Single,61240.24,Full-time,West,Yes,8.3,1
16861,25,Other,Married,86217.27,Full-time,West,Yes,7.1,1
13582,59,Female,Widowed,74884.52,Full-time,Northeast,No,0.7,1
10287,38,Male,Married,61217.92,Full-time,Northeast,No,0.1,1
13378,30,Female,Single,80032.41,Full-time,Northeast,No,4.3,0
10064,31,Male,Divorced,53910.54,Part-time,West,Yes,1.1,0
18901,43,Male,Married,86143.9,Full-time,West,Yes,3.3,1
11934,62,Male,Married,62505.41,Full-time,Northeast,Yes,5.9,1
11394,51,Female,Single,50273.11,Full-time,West,Yes,0.5,1
11333,28,Female,Single,58138.1,Full-time,West,Yes,4.2,0
17054,49,Female,Single,68460.67,Full-time,Northeast,Yes,3.8,1
19583,30,Female,Married,56527.08,Part-time,West,Yes,1.5,0
17835,31,Male,Married,73725.84,Full-time,Northeast,Yes,6.8,1
17225,31,Female,Single,61301.48,Full-time,West,Yes,0.2,1
13952,36,Male,Single,54719.37,Full-time,Northeast,No,7.1,0
16095,45,Female,Single,74565.99,Part-time,West,Yes,2.5,1
15505,54,Female,Married,49786.73,Full-time,South,No,11.3,0
12603,57,Male,Married,67006.17,Full-time,West,No,11.3,1
10199,53,Female,Single,78309.45,Full-time,Northeast,Yes,7.4,1
11067,22,Female,Widowed,29789.07,Full-time,Midwest,No,4.7,0
16554,28,Male,Single,54065.39,Full-time,West,Yes,21.3,0
18795,45,Male,Married,51378.32,Full-time,Northeast,Yes,8.3,1
11035,33,Male,Married,48135.01,Full-time,Midwest,Yes,9.5,1
10325,24,Male,Married,57354.55,Full-time,Midwest,No,0.7,0
12927,48,Male,Single,57381.69,Full-time,South,No,0.8,0
15386,64,Male,Married,59484.54,Full-time,Midwest,No,0.9,0
15988,37,Male,Single,77157.29,Full-time,West,Yes,0.1,1
12966,35,Female,Single,65881.64,Full-time,Midwest,Yes,6.5,1
18995,31,Male,Married,48801.27,Full-time,Northeast,No,10.9,0
16893,31,Female,Married,61845.98,Contract,Northeast,No,0.2,0
16660,56,Female,Single,80531.56,Part-time,Midwest,Yes,1.6,1
16882,63,Other,Married,77891.15,Full-time,Midwest,Yes,8.8,1
15721,29,Female,Single,71235.7,Full-time,South,Yes,1.7,1
12718,54,Male,Married,45576.5,Full-time,West,Yes,10.4,1
10807,35,Other,Single,78828.35,Full-time,South,No,2.2,1
16585,32,Other,Single,74547.87,Full-time,Northeast,Yes,2.2,1
17003,23,Other,Married,64157.87,Full-time,Midwest,No,14.8,0
16253,61,Female,Single,68755.43,Full-time,Northeast,Yes,2.6,1
11059,32,Female,Single,70626.31,Full-time,South,Yes,1.8,1
10577,57,Male,Married,70382.67,Full-time,West,No,3.1,1
19030,55,Male,Married,70931.36,Part-time,Northeast,Yes,4.5,1
10033,24,Male,Married,39655.9,Full-time,South,No,1.5,0
11048,58,Male,Married,63066.2,Full-time,South,Yes,0.3,1
14577,35,Male,Single,72429.36,Full-time,West,No,7.4,1
14990,36,Male,Widowed,91479.05,Full-time,South,Yes,0.7,1
12276,34,Male,Widowed,59609.04,Full-time,Northeast,No,1.0,0
18168,41,Female,Married,63155.73,Full-time,South,Yes,9.6,1
14631,64,Female,Single,65266.83,Contract,Northeast,No,5.2,0
19653,55,Male,Married,62505.89,Part-time,West,Yes,2.9,1
10593,62,Male,Married,47812.38,Full-time,South,Yes,13.9,1
15655,44,Male,Divorced,52827.02,Part-time,West,No,2.0,0
18011,63,Female,Divorced,79951.12,Part-time,West,Yes,3.0,1
19801,46,Male,Single,51805.32,Full-time,Northeast,No,3.0,0
19056,58,Female,Single,48979.61,Full-time,Northeast,No,8.8,0
11976,56,Male,Single,78156.52,Full-time,Midwest,Yes,4.5,1
18305,63,Other,Single,80847.52,Full-time,West,Yes,0.7,1
13961,61,Female,Single,66096.38,Part-time,West,Yes,6.0,1
13485,36,Female,Single,63270.55,Full-time,West,Yes,1.0,1
18584,29,Male,Widowed,54714.51,Full-time,Midwest,Yes,1.2,0
16423,59,Male,Married,53088.47,Part-time,Northeast,Yes,1.0,0
15793,50,Female,Single,58331.39,Full-time,West,Yes,1.0,1
11883,55,Male,Divorced,78235.5,Full-time,West,Yes,5.2,1
19007,40,Female,Married,48946.32,Part-time,West,Yes,2.9,0
14009,33,Female,Married,59692.25,Full-time,Northeast,No,4.7,0
18030,39,Female,Married,73727.28,Full-time,South,No,12.3,1
16937,47,Female,Single,70697.47,Full-time,Midwest,Yes,5.4,1
17049,37,Male,Divorced,44112.97,Part-time,South,Yes,6.6,0
15412,41,Male,Married,57770.83,Full-time,West,Yes,2.0,1
12479,62,Male,Married,96036.33,Full-time,Midwest,Yes,2.2,1
13434,57,Female,Married,100168.8,Contract,West,No,3.5,0
16994,39,Female,Married,70377.2,Full-time,Northeast,No,1.9,1
13398,38,Female,Single,50821.41,Full-time,Northeast,Yes,0.3,1
18399,32,Female,Married,66483.9,Full-time,West,Yes,5.6,1
13477,64,Female,Widowed,75593.44,Full-time,Midwest,Yes,6.6,1
16290,45,Female,Single,59934.15,Part-time,South,Yes,1.3,0
12668,28,Female,Married,90528.42,Full-time,South,Yes,3.1,1
14578,32,Female,Married,63848.87,Full-time,South,Yes,0.7,1
13988,41,Female,Married,59198.37,Part-time,Northeast,No,0.0,0
16064,60,Female,Single,62358.98,Full-time,South,Yes,3.1,1
15636,50,Male,Single,54597.38,Full-time,West,No,8.7,0
11856,58,Female,Single,71860.98,Full-time,West,Yes,0.7,1
17763,64,Female,Married,57668.7,Full-time,West,No,10.4,0
14198,58,Male,Married,86956.28,Part-time,Northeast,Yes,0.2,1
16613,33,Male,Married,70771.96,Full-time,Northeast,Yes,0.1,1
16432,50,Female,Married,76541.38,Full-time,South,Yes,5.3,1
18556,36,Male,Married,62684.11,Contract,West,Yes,2.1,1
16057,33,Male,Widowed,58413.84,Full-time,Midwest,No,1.4,0
17562,32,Male,Single,54003.02,Part-time,Northeast,Yes,5.9,0
19386,44,Male,Married,70074.49,Part-time,Northeast,No,3.5,0
16415,36,Female,Single,57697.24,Contract,West,Yes,2.7,0
14195,61,Male,Single,64423.03,Full-time,Midwest,Yes,1.7,1
10425,26,Female,Single,77287.07,Full-time,Northeast,No,3.3,0
12126,30,Male,Single,68041.42,Full-time,West,Yes,0.7,1
14924,57,Female,Widowed,73790.36,Full-time,South,No,0.4,1
18602,55,Male,Married,72389.48,Part-time,Midwest,No,2.0,0
18809,32,Male,Married,61310.64,Part-time,Northeast,No,1.0,0
18818,64,Female,Married,62708.13,Full-time,South,Yes,0.4,1
16170,54,Female,Widowed,52395.66,Full-time,South,No,4.1,0
17434,42,Male,Married,67509.28,Contract,Midwest,Yes,4.0,1
15410,37,Male,Widowed,65359.81,Full-time,Midwest,Yes,0.7,1
10894,41,Female,Single,64051.93,Full-time,West,No,8.3,1
12384,29,Male,Widowed,74190.59,Part-time,West,Yes,1.6,0
15245,34,Male,Single,67989.93,Part-time,South,No,3.1,0
10263,59,Male,Married,48048.42,Full-time,Midwest,Yes,1.0,1
17673,27,Female,Divorced,37912.3,Part-time,Northeast,No,0.2,0
11272,45,Male,Single,67577.07,Full-time,Northeast,Yes,2.0,1
17812,44,Female,Married,53599.54,Full-time,South,No,1.8,0
17013,31,Female,Divorced,58040.12,Full-time,South,No,1.6,0
12283,53,Other,Married,57419.18,Full-time,South,Yes,7.7,1
13490,58,Female,Divorced,108368.18,Part-time,West,Yes,7.6,1
11813,59,Female,Single,46933.7,Full-time,South,No,2.6,0
19057,50,Female,Married,36919.63,Full-time,Midwest,Yes,10.4,1
11952,62,Male,Single,75148.71,Full-time,Northeast,No,2.3,1
19982,35,Female,Married,82644.58,Full-time,Midwest,No,4.5,1
18993,39,Male,Widowed,75279.91,Full-time,Midwest,No,3.3,1
10384,53,Male,Married,54843.08,Full-time,Midwest,No,14.4,0
12762,36,Female,Single,49950.66,Full-time,Northeast,Yes,2.9,1
15339,63,Male,Married,84135.23,Contract,Midwest,No,5.6,0
16421,37,Female,Single,76474.96,Full-time,South,Yes,2.8,1
16486,62,Male,Married,83672.56,Part-time,Midwest,No,0.4,0
15180,62,Male,Married,75136.21,Part-time,South,Yes,3.0,1
13272,45,Female,Single,92374.48,Full-time,Midwest,No,7.2,1
13368,61,Female,Single,77264.69,Part-time,South,Yes,0.8,1
15290,41,Female,Divorced,67666.87,Full-time,Midwest,No,0.0,1
17310,28,Male,Single,60651.28,Full-time,Northeast,Yes,1.5,1
17232,23,Female,Married,39072.69,Full-time,Northeast,Yes,2.9,0
15249,47,Female,Single,50708.2,Full-time,West,No,2.8,0
15083,27,Female,Married,73991.67,Full-time,Northeast,No,0.6,0
19496,52,Male,Married,92866.43,Full-time,South,Yes,4.7,1
10628,59,Male,Single,34985.1,Full-time,Northeast,Yes,0.8,1
12262,46,Female,Married,55084.92,Full-time,Midwest,Yes,0.2,1
16158,61,Male,Married,72501.26,Full-time,South,No,2.5,1
12141,29,Female,Single,73627.96,Full-time,Northeast,Yes,3.2,1
15393,23,Male,Married,77086.76,Full-time,Northeast,No,2.4,0
11116,53,Female,Single,64119.63,Full-time,South,Yes,1.9,1
10485,62,Male,Widowed,55808.04,Full-time,Midwest,No,2.6,0
10405,53,Male,Married,67037.87,Full-time,South,No,2.7,1
15699,60,Female,Married,70836.72,Full-time,Northeast,Yes,5.7,1
18798,56,Female,Single,64556.6,Full-time,West,No,1.8,1
14400,23,Female,Married,43742.22,Full-time,Midwest,No,5.1,0
11954,40,Male,Single,55988.11,Part-time,Northeast,Yes,2.2,0
19711,32,Male,Married,63709.99,Full-time,Northeast,No,1.3,1
15974,24,Female,Married,57098.91,Full-time,South,Yes,2.9,0
10319,56,Female,Married,73464.13,Full-time,West,No,1.2,1
11596,38,Female,Single,60969.54,Full-time,Northeast,Yes,0.4,1
18502,42,Male,Married,55262.79,Contract,Midwest,Yes,0.1,0
13596,38,Male,Single,69708.9,Full-time,South,Yes,11.4,1
16969,51,Female,Single,77357.81,Part-time,South,Yes,1.2,1
13837,44,Female,Divorced,67035.78,Full-time,Midwest,No,0.5,1
13524,62,Male,Married,60317.9,Full-time,Midwest,Yes,3.9,1
11199,30,Male,Divorced,56385.29,Full-time,Northeast,Yes,0.7,0
19039,35,Female,Married,71679.01,Contract,Midwest,Yes,1.7,1
16635,64,Male,Married,66798.89,Full-time,Northeast,No,0.3,1
17388,50,Male,Married,68458.23,Contract,West,No,0.8,0
14343,64,Male,Married,78677.89,Full-time,South,No,1.0,1
12118,53,Female,Single,56262.99,Full-time,Northeast,No,8.4,0
11798,42,Female,Single,91841.05,Full-time,South,No,2.2,1
17455,59,Male,Single,54499.39,Full-time,Northeast,Yes,0.7,1
18948,63,Male,Single,48947.29,Full-time,West,No,3.4,0
16151,30,Male,Married,59441.13,Full-time,Midwest,No,2.5,0
17661,26,Male,Single,66586.47,Part-time,South,Yes,12.1,0
11993,26,Female,Single,68004.45,Full-time,South,Yes,0.7,1
13797,35,Male,Single,50305.16,Full-time,Midwest,Yes,1.6,1
15582,49,Male,Divorced,59819.42,Full-time,Northeast,Yes,7.4,1
13675,45,Female,Single,48729.11,Full-time,South,Yes,0.5,1
15518,30,Male,Single,96612.6,Part-time,Midwest,Yes,0.4,0
16405,54,Female,Married,70963.42,Full-time,West,Yes,0.6,1
11343,30,Male,Single,54995.9,Full-time,South,Yes,1.3,0
13011,47,Female,Single,62356.81,Full-time,West,Yes,5.4,1
19882,44,Male,Married,56576.93,Full-time,Midwest,No,1.1,0
10585,40,Female,Married,54785.97,Full-time,Midwest,No,3.6,0
12552,35,Female,Single,69573.27,Full-time,Midwest,Yes,6.2,1
17060,40,Female,Single,70703.38,Full-time,Northeast,Yes,13.2,1
13320,30,Male,Married,85174.2,Full-time,Midwest,Yes,2.0,1
17078,44,Female,Married,68126.32,Full-time,South,Yes,6.1,1
18862,64,Male,Divorced,49102.83,Full-time,Midwest,Yes,12.4,1
14202,55,Male,Single,100032.81,Part-time,Midwest,Yes,11.7,1
17007,63,Female,Single,67151.87,Full-time,South,Yes,1.7,1
11408,22,Male,Married,70401.53,Full-time,South,No,1.8,0
13319,56,Male,Single,79831.64,Part-time,South,Yes,3.0,1
12601,59,Male,Married,67454.31,Full-time,Midwest,Yes,1.9,1
10187,23,Female,Married,71582.57,Part-time,South,Yes,2.3,0
18428,41,Male,Married,96974.11,Part-time,West,No,4.8,0
13058,29,Female,Married,78620.73,Full-time,Midwest,Yes,3.0,1
17227,33,Male,Widowed,77849.01,Full-time,West,Yes,11.8,1
11290,38,Male,Divorced,46125.55,Part-time,South,No,0.1,0
10239,63,Male,Married,69479.29,Full-time,Northeast,No,5.6,1
16029,38,Male,Married,61084.64,Full-time,West,No,36.0,1
12339,31,Female,Single,50834.61,Full-time,West,Yes,2.8,1
13577,35,Male,Single,63557.42,Full-time,Northeast,Yes,1.8,1
16227,50,Female,Single,78309.74,Contract,West,No,1.6,0
16800,34,Male,Married,68684.13,Full-time,West,Yes,2.7,1
11494,24,Female,Married,60759.05,Full-time,Midwest,Yes,2.6,1
19260,32,Female,Married,72442.7,Full-time,South,Yes,4.2,1
16617,35,Male,Married,78274.08,Contract,West,Yes,1.4,1
18875,62,Male,Single,84713.31,Full-time,Northeast,Yes,1.5,1
12122,58,Female,Widowed,21608.91,Part-time,Midwest,Yes,1.3,0
17011,26,Male,Divorced,60457.89,Full-time,South,No,0.4,0
17231,34,Female,Married,47943.76,Contract,Northeast,Yes,3.7,0
18774,49,Female,Single,48253.54,Full-time,Northeast,No,3.0,0
12541,48,Male,Divorced,70303.35,Full-time,Northeast,Yes,1.2,1
16659,45,Male,Married,37245.95,Full-time,South,Yes,0.5,1
17446,52,Female,Widowed,70276.57,Part-time,Midwest,No,0.9,0
16584,47,Male,Married,82780.24,Full-time,West,No,6.0,1
13221,48,Female,Single,29626.43,Full-time,Northeast,Yes,8.5,1
16259,64,Female,Married,62962.18,Full-time,South,Yes,1.8,1
13278,49,Female,Single,66510.2,Full-time,Northeast,No,6.2,1
18698,29,Female,Single,70529.91,Full-time,West,Yes,0.2,1
17418,31,Male,Single,43395.74,Full-time,Midwest,Yes,0.1,1
13801,41,Male,Single,70426.42,Full-time,Northeast,Yes,0.9,1
19591,30,Female,Single,61494.5,Full-time,West,Yes,1.2,1
17469,50,Male,Widowed,69272.82,Full-time,West,Yes,8.5,1
17704,63,Female,Married,53569.58,Contract,South,No,2.1,0
14058,33,Female,Single,78909.5,Part-time,Northeast,No,18.7,0
17690,46,Male,Married,91872.69,Full-time,South,Yes,2.0,1
10147,43,Female,Married,40148.92,Full-time,West,Yes,0.5,1
13429,38,Female,Married,34301.71,Part-time,Midwest,No,4.0,0
11585,54,Male,Divorced,68011.97,Part-time,Midwest,No,0.4,0
16874,26,Male,Married,77128.58,Full-time,South,Yes,0.6,1
11765,31,Female,Divorced,63980.15,Full-time,Northeast,Yes,3.5,1
10432,57,Male,Single,70295.12,Full-time,South,No,5.8,1
16017,51,Male,Married,46558.09,Full-time,South,No,2.0,0
19161,27,Female,Widowed,49367.6,Full-time,Northeast,Yes,1.1,0
10601,59,Male,Married,87062.34,Full-time,South,Yes,7.3,1
10930,35,Male,Single,82609.18,Full-time,South,Yes,6.4,1
10504,45,Female,Married,75618.59,Full-time,Northeast,Yes,8.8,1
14987,54,Female,Married,59125.38,Part-time,Midwest,Yes,0.7,0
15065,56,Male,Single,66614.22,Part-time,Northeast,No,4.6,0
15496,62,Female,Married,78345.65,Part-time,Northeast,Yes,4.1,1
19354,43,Male,Widowed,98864.31,Full-time,South,No,2.5,1
12317,60,Female,Married,67928.38,Full-time,Northeast,Yes,2.8,1
17419,26,Female,Married,59478.66,Part-time,West,No,1.9,0
19873,51,Female,Single,60270.09,Full-time,South,Yes,4.2,1
17680,60,Female,Married,76865.35,Full-time,Midwest,Yes,1.1,1
14476,60,Other,Married,67841.28,Full-time,West,Yes,6.0,1
14084,23,Male,Divorced,40985.74,Full-time,Northeast,No,0.7,0
17101,57,Male,Divorced,65990.92,Full-time,Northeast,No,3.5,1
10616,36,Female,Widowed,55069.2,Full-time,Northeast,Yes,5.8,1
18379,64,Female,Married,73754.75,Full-time,West,Yes,1.2,1
11198,51,Female,Married,49653.45,Contract,Midwest,Yes,6.0,0
18328,39,Female,Married,75521.43,Full-time,South,No,1.4,1
14232,25,Female,Divorced,48073.32,Part-time,Northeast,Yes,7.8,0
13491,38,Male,Single,51834.07,Full-time,West,No,0.4,0
17938,33,Female,Married,62236.59,Full-time,West,Yes,1.3,1
11830,61,Female,Married,66059.42,Part-time,Midwest,No,6.8,0
12054,42,Other,Divorced,60959.69,Contract,West,Yes,3.7,1
18804,38,Male,Married,77593.07,Part-time,West,No,1.9,0
17968,58,Female,Single,52861.39,Contract,Midwest,Yes,0.2,0
15109,56,Female,Married,52136.83,Full-time,West,Yes,1.7,1
10515,38,Female,Single,42402.95,Full-time,Northeast,Yes,2.1,1
12406,38,Male,Divorced,43224.48,Full-time,Midwest,No,1.0,0
14985,43,Male,Widowed,53219.66,Full-time,South,Yes,1.8,1
15606,61,Male,Married,64442.39,Part-time,Midwest,No,10.6,0
18504,58,Male,Married,53601.05,Full-time,South,No,0.8,0
18967,43,Male,Single,49419.83,Full-time,South,Yes,19.7,1
19293,34,Male,Single,75251.19,Full-time,South,No,5.9,1
11424,46,Male,Single,69649.32,Full-time,Midwest,Yes,3.9,1
16860,51,Male,Married,34632.96,Part-time,Midwest,No,4.1,0
17498,50,Male,Married,64891.12,Full-time,West,No,3.6,1
19156,51,Male,Single,93075.37,Full-time,West,Yes,1.2,1
11506,49,Female,Divorced,69015.21,Full-time,Northeast,Yes,2.0,1
10300,51,Male,Widowed,85511.44,Full-time,South,No,11.2,1
12345,42,Male,Married,82368.15,Full-time,South,No,3.6,1
13967,45,Female,Single,67378.3,Full-time,South,No,11.4,1
17706,54,Male,Married,67012.58,Contract,Midwest,No,1.9,0
11731,28,Male,Married,88742.14,Full-time,West,Yes,20.0,1
13723,39,Male,Married,73290.03,Full-time,West,Yes,9.6,1
12789,33,Female,Divorced,61497.94,Full-time,South,Yes,2.1,1
18493,58,Female,Married,77778.59,Full-time,West,No,2.3,1
11474,26,Male,Married,71821.99,Full-time,Midwest,Yes,2.9,1
17470,30,Male,Single,77207.09,Full-time,Northeast,Yes,0.4,1
15287,58,Female,Divorced,68663.87,Full-time,West,No,9.1,1
12995,30,Female,Single,47904.12,Full-time,Midwest,Yes,6.6,0
14938,25,Male,Divorced,47617.78,Full-time,West,Yes,7.3,0
15923,27,Female,Married,55703.19,Full-time,Northeast,No,4.4,0
11717,24,Male,Widowed,51550.06,Part-time,South,No,3.2,0
13733,38,Male,Married,63458.11,Full-time,West,No,1.6,1
12350,53,Female,Married,51081.45,Contract,South,Yes,1.4,0
16162,48,Female,Widowed,67361.47,Contract,West,Yes,3.3,1
17688,39,Male,Married,63389.83,Full-time,Midwest,Yes,3.7,1
13712,49,Male,Married,82834.68,Contract,Northeast,No,4.4,0
12516,50,Male,Married,63198.98,Full-time,South,Yes,3.7,1
11465,24,Male,Married,74704.85,Full-time,Midwest,No,3.2,0
10902,57,Male,Married,60934.25,Part-time,Northeast,Yes,0.3,1
15078,55,Male,Married,56720.88,Full-time,Midwest,No,5.0,0
17747,27,Female,Divorced,53237.12,Part-time,Northeast,Yes,1.8,0
13259,22,Female,Married,70876.89,Full-time,Midwest,No,0.1,0
16238,25,Female,Married,70107.99,Full-time,West,Yes,2.8,1
15572,64,Male,Married,67145.34,Contract,West,Yes,5.4,1
14230,40,Male,Married,66575.11,Full-time,Midwest,Yes,3.0,1
12214,56,Male,Married,47556.7,Full-time,South,No,2.7,0
10889,47,Male,Single,60949.31,Full-time,Midwest,No,1.9,1
10559,34,Male,Single,78976.66,Full-time,South,Yes,4.2,1
15939,44,Male,Divorced,81088.2,Full-time,Midwest,Yes,0.2,1
15692,50,Male,Married,59493.19,Full-time,West,Yes,0.3,1
14512,54,Male,Divorced,76320.19,Full-time,Northeast,Yes,7.5,1
15950,30,Female,Married,78001.82,Full-time,Midwest,No,0.8,0
17281,24,Female,Married,81540.57,Part-time,West,Yes,3.7,0
